DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE LOCAL,ESTADO,HORARIO DE ATENCION AL PUBLICO,DIRECCION,AÑO
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES,OPERATIVO,08:45 a 16:30,Avenida Luis Gonzáles  Nº 635,2022
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL ALMANZOR AGUINAGA ASENJO,OPERATIVO,08:45 a 16:30,Plaza Plaza de la Seguridad Social S/N,2022
PIURA,SULLANA,SULLANA,ORA HOSPITAL DE APOYO II-SULLANA,OPERATIVO,08:45 a 16:30,Avenida Santa Rosa S/N,2022
CAJAMARCA,CUTERVO,CUTERVO,PAP CUTERVO,OPERATIVO,08:45 a 16:45,Calle Jr. Comercio N° 1103 Mz. 203 Lt. 14-Urb. Los Jardines ,2022
CAJAMARCA,CHOTA,CHOTA,AG CHOTA,OPERATIVO,08:45 a 16:45,Jirón Jr. 30 de Agosto N° 848,2022
CAJAMARCA,SANTA CRUZ,SANTA CRUZ,PAP SANTA CRUZ,OPERATIVO,08:45 a 16:30,Jirón Domingo Negrón Nº 399,2022
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,OR JOSÉ LEONARDO ORTIZ,OPERATIVO,08:45 a 16:45,Calle Cacique Cinto Nº 317 Urb. Latina,2022
PIURA,AYABACA,FRÍAS,OR FRIAS,OPERATIVO,08:45 a 16:30,Calle Lima Nº 235 - 2do piso,2022
LAMBAYEQUE,CHICLAYO,CHICLAYO,OR CHICLAYO,OPERATIVO,08:45 a 16:45,Avenida Balta N° 680 y esquina con Av. Elias Aguirre,2022
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,PAP FERREÑAFE,OPERATIVO,08:45 a 16:45,Calle Tres Marías Nº 717 – B,2022
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,PAP LAMBAYEQUE,OPERATIVO,08:45 a 16:45,Avenida Huamachuco N° 342,2022
CAJAMARCA,CUTERVO,CUTERVO,ORA SANTA MARIA DE CUTERVO,OPERATIVO,08:45 a 16:30,Jirón Ica S/N,2022
CAJAMARCA,CHOTA,CHOTA,ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS,OPERATIVO,08:45 a 16:30,Jirón Ezequiel Montoya Nª 718,2022
PIURA,PIURA,PIURA,OR PIURA,OPERATIVO,08:45 a 16:45,Calle Libertad Nº 568,2022
PIURA,AYABACA,AYABACA,PAP AYABACA,OPERATIVO,08:45 a 16:30,Calle Bolognesi N° 181,2022
PIURA,HUANCABAMBA,HUANCABAMBA,PAP HUANCABAMBA,OPERATIVO,08:45 a 16:30,- Complejo Terminal Terrestre S/N - Stand 14,2022
PIURA,MORROPON,CHULUCANAS,AG CHULUCANAS,OPERATIVO,08:45 a 16:45,Jirón Jr. Cuzco N° 300,2022
PIURA,PAITA,PAITA,PAP PAITA,OPERATIVO,08:45 a 16:30,Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita,2022
PIURA,SULLANA,SULLANA,OR SULLANA,OPERATIVO,08:45 a 16:45,Calle Leoncio Prado Nº 517 ,2022
PIURA,TALARA,PARIÑAS,AG TALARA,OPERATIVO,08:45 a 16:45,Avenida Mártires Petroleros B-3 Conjunto Habitacional - Talara,2022
PIURA,SECHURA,SECHURA,PAP SECHURA,OPERATIVO,08:45 a 16:30,Calle Dos de Mayo Nº 618 - Plaza de Armas - Municipalidad de Sechura,2022
PIURA,PIURA,TAMBO GRANDE,PAP TAMBOGRANDE,OPERATIVO,08:45 a 16:30,Calle Jr. Salitral Nº 241,2022
PIURA,PIURA,PIURA,MAC - PIURA,OPERATIVO,08:30 a 16:30,Avenida Sanchez Cerro con Wiesse Centro Comercial Real Plaza,2022
PIURA,PAITA,PAITA,ORA HOSPITAL LAS MERCEDES-PAITA,OPERATIVO,08:45 a 16:30,- Zona Industrial Sector II Mz. H Lt. 1 Jr. Los Pescadores S/N ,2022
TUMBES,TUMBES,TUMBES,OR TUMBES,OPERATIVO,08:45 a 16:45,Avenida Tumbes Nº 550,2022
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,PANP CONTRALMIRANTE VILLAR - ZORRITOS,DESPLAZAMIENTO,08:45 a 16:45,Avenida Grau Nº 305,2022
TUMBES,ZARUMILLA,ZARUMILLA,PAP ZARUMILLA,OPERATIVO,08:45 a 16:30,Avenida El Ejérrcito Nº 105 - Interior Biblioteca Municipal,2022
LAMBAYEQUE,LAMBAYEQUE,OLMOS,PANP OLMOS,DESPLAZAMIENTO,08:45 a 16:30,Avenida A. B. Leguía/Calle Alfonso Ugarte,2022
PIURA,PIURA,TAMBO GRANDE,ORA TAMBO GRANDE,OPERATIVO,08:45 a 16:30,"Avenida Froilan Alama,, AA.HH.Froilan Alama",2022
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,ORA HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE,OPERATIVO,08:45 a 16:30,Avenida Ramón Castilla Nº 597,2022
TUMBES,TUMBES,TUMBES,ORA HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2,OPERATIVO,08:45 a 16:30,Avenida 24 de Julio Nº 565 ,2022
PIURA,PIURA,CATACAOS,ORA CENTRO DE SALUD MATERNO INFANTIL-CATACAOS,OPERATIVO,08:45 a 16:30,Avenida Cayetano Heredia 1108 - Catacaos,2022
PIURA,PIURA,Veintises de Octubre,ORA HOSPITAL DE LA AMISTAD PERU - COREA SANTA ROSA II-2,OPERATIVO,08:45 a 16:30,Avenida Prolongación Av. Grau/Av. Chulucanas ,2022
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL LAMBAYEQUE,OPERATIVO,08:45 a 16:30,Avenida Intersección de Carretera Panamerica Norte y Vía de Evitamiento S/N,2022
LA LIBERTAD,TRUJILLO,TRUJILLO,ORA REGIONAL DOCENTE DE TRUJILLO,OPERATIVO,08:45 a 16:30,Avenida Mansiche Nº 795,2022
CAJAMARCA,CAJAMARCA,CAJAMARCA,ORA REGIONAL CAJAMARCA,OPERATIVO,08:45 a 16:30,Jirón Larry Jhonson S/N Cdra. 8,2022
LA LIBERTAD,TRUJILLO,TRUJILLO,ORA HOSPITAL BELEN DE TRUJILLO,OPERATIVO,08:45 a 16:30,Calle Bolívar Nº 350,2022
CAJAMARCA,CAJAMARCA,CAJAMARCA,OR CAJAMARCA,OPERATIVO,08:45 a 16:45,Jirón Del Comercio Nº 633,2022
CAJAMARCA,CAJABAMBA,CAJABAMBA,PAP CAJABAMBA,OPERATIVO,08:45 a 16:45,Jirón Miguel Grau Nº 224-226-228 Mz. 31 Lt. 2 ,2022
CAJAMARCA,CELENDIN,CELENDÍN,PAP CELENDIN,OPERATIVO,08:45 a 16:45,Jirón Pardo N° 610,2022
CAJAMARCA,CONTUMAZA,CONTUMAZÁ,PAP CONTUMAZA,OPERATIVO,08:45 a 16:30,Jirón Miguel Grau Nº 212,2022
CAJAMARCA,HUALGAYOC,BAMBAMARCA,PAP HUALGAYOC,OPERATIVO,08:45 a 16:45,Jirón 07 de Junio Nº 470,2022
CAJAMARCA,SAN MIGUEL,SAN MIGUEL,PAP SAN MIGUEL,OPERATIVO,08:45 a 16:45,Jirón Bolognesi N° 364,2022
CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,PAP SAN MARCOS,OPERATIVO,08:45 a 16:45,Jirón Jr. Alfonso Ugarte N° 325 (Mz. 46 Lt. 17 Centro Poblado San Marcos).,2022
CAJAMARCA,SAN PABLO,SAN PABLO,PAP SAN PABLO,OPERATIVO,08:45 a 16:30,Jirón Plaza de Armas S/N,2022
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,OR TRUJILLO II,OPERATIVO,08:45 a 16:45,"Avenida Víctor Larco N° 1096. Unidad 01, Local Comercial 01, Mz.05, Lte.01 AA.HH. Vista Alegre.",2022
LA LIBERTAD,PATAZ,PARCOY,OR PARCOY,OPERATIVO,08:45 a 16:30,Jirón San Martín N° 859,2022
LA LIBERTAD,TRUJILLO,TRUJILLO,OR TRUJILLO I,OPERATIVO,08:45 a 16:45,Avenida Pablo Casals Mz. A Lt. 6 Urb. Los Cedros,2022
LA LIBERTAD,BOLIVAR,BOLÍVAR,PAP BOLIVAR,OPERATIVO,08:45 a 16:30,Jirón Bolivar S/N - Mz. 20 Lt. 8,2022
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,AG SANCHEZ CARRION,OPERATIVO,08:45 a 16:45,Jirón Alfonso Ugarte N° 567,2022
LA LIBERTAD,OTUZCO,OTUZCO,AG OTUZCO,OPERATIVO,08:45 a 16:45,Pasaje Pasaje Elías Armas Castillo Lt. 5-E1 Mz. 28,2022
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,AG PACASMAYO,OPERATIVO,08:45 a 16:45,Jirón Alianza Nº 524,2022
LA LIBERTAD,PATAZ,TAYABAMBA,PAP PATAZ,OPERATIVO,08:45 a 16:30,Jirón Sucre 337 1er Piso Centro Civico,2022
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,PAP SANTIAGO DE CHUCO,OPERATIVO,08:45 a 16:30,Calle Luis de La Puente Uceda  Nº 1120,2022
LA LIBERTAD,ASCOPE,ASCOPE,PAP ASCOPE,OPERATIVO,08:45 a 16:45,"Calle Miguel Grau N° 879, Ascope - 1er Piso",2022
LA LIBERTAD,CHEPEN,CHEPÉN,PAP CHEPEN,OPERATIVO,08:45 a 16:45,Calle Calle Manuel Seoane  N° 136. Chepen,2022
LA LIBERTAD,GRAN CHIMU,CASCAS,PAP GRAN CHIMU,OPERATIVO,08:45 a 16:30,Calle Progreso S/N Cdra. 3,2022
LA LIBERTAD,VIRU,VIRU,PAP VIRU,OPERATIVO,08:45 a 16:45,-  Mz. A Lt. N° 08 Urb. Las Palmeras,2022
CAJAMARCA,HUALGAYOC,BAMBAMARCA,ORA BAMBAMARCA - TITO VILLAR CABEZAS,OPERATIVO,08:45 a 16:30,Avenida Av. Ricardo Palma Nº 689,2022
CAJAMARCA,CELENDIN,CELENDÍN,ORA DE APOYO CELENDIN,OPERATIVO,08:45 a 16:30,Avenida Túpac Amaru Cdra. 4,2022
CAJAMARCA,CAJABAMBA,CAJABAMBA,ORA HOSPITAL NUESTRA SEÑORA DEL ROSARIO,OPERATIVO,08:45 a 16:30,Jirón La Torre N° 277,2022
CAJAMARCA,SAN MARCOS,PEDRO GÁLVEZ,ORA SAN MARCOS,OPERATIVO,08:45 a 16:30,Avenida Av. 28 de Julio S/N Cdra.2,2022
LA LIBERTAD,TRUJILLO,EL PORVENIR,OR EL PORVENIR,OPERATIVO,08:45 a 16:45,Jirón Gabriel Aguilar Nº 1657. 2do piso.,2022
LA LIBERTAD,TRUJILLO,EL PORVENIR,OR ALTO TRUJILLO,OPERATIVO,08:45 a 16:45,- Centro Poblado Alto Trujillo-Barrio 3 Mz T Lt. 2,2022
CAJAMARCA,CAJAMARCA,CAJAMARCA,ORA SIMON BOLIVAR,OPERATIVO,08:45 a 16:30,Avenida Mario Urteaga N° 500,2022
LA LIBERTAD,PACASMAYO,GUADALUPE,ORA DE APOYO TOMÁS LAFORA,OPERATIVO PARCIAL,08:45 a 16:30,Calle La Victoria S/N,2022
CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,ORA BAÑOS DEL INCA,OPERATIVO,08:45 a 16:30,Jirón Pachacútec N° 489,2022
LA LIBERTAD,TRUJILLO,LA ESPERANZA,ORA DISTRITAL JERUSALEN,OPERATIVO,08:45 a 16:30,Pasaje 1 Barrio 3 Mz. 20 Lt. 02 Sector Jerusalén,2022
LA LIBERTAD,PATAZ,CHILLIA,AG CHILLIA,OPERATIVO,08:45 a 16:30,Jirón Miraflores S/N,2022
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,ORA DE APOYO CESAR ABRAHAM VALLEJO MENDOZA,OPERATIVO,08:45 a 16:30,Calle Gustavo Pinillo S/N - Barrio San Cristobal,2022
LA LIBERTAD,CHEPEN,CHEPEN,ORA DE APOYO CHEPEN,OPERATIVO,08:45 a 16:30,Avenida 28 de Julio S/N,2022
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,ORA DE APOYO LEONCIO PRADO,OPERATIVO,08:45 a 16:30,Avenida 10 de Julio N° 209,2022
LA LIBERTAD,OTUZCO,OTUZCO,ORA DE APOYO OTUZCO ELPIDIO BEROVIDES PEREZ,OPERATIVO,08:45 a 16:30,Calle Progreso N° 385,2022
LA LIBERTAD,ASCOPE,PAIJAN,ORA PAIJAN,OPERATIVO,08:45 a 16:30,Carretera Vía Panamericana S/N Sector Manco Capac,2022
CAJAMARCA,CAJAMARCA,CAJAMARCA,MAC - CAJAMARCA,OPERATIVO,08:30 a 16:30,Avenida Via De Evitamiento. Jr. El Mutuy y Av. La Cantuta - Cajamarca - Centro Comercial Real Plaza 2do. Piso,2022
LA LIBERTAD,TRUJILLO,TRUJILLO,MAC LA LIBERTAD,OPERATIVO,08:30 a 16:30,"Avenida Centro Comercial Real Plaza de Trujillo -Fundo Las Casuarinas, Sub Lote predio A; Intersección , Av. Fátima 1345, Trujillo, La Libertad",2022
SAN MARTIN,SAN MARTIN,TARAPOTO,ORA HOSPITAL TARAPOTO,OPERATIVO,08:45 a 16:30,Jirón Angel Delgado Morey Nº 503,2022
LORETO,DATEM DEL MARAÑON,BARRANCA,PAP DATEM DEL MARAÑON,OPERATIVO,08:45 a 16:45,Calle Tigre Mz. 31 Lt. 08 - San Lorenzo,2022
SAN MARTIN,RIOJA,NUEVA CAJAMARCA,AG NUEVA CAJAMARCA,OPERATIVO,08:45 a 16:45,Carretera  Fernando Belaunde Terry Altura del Km. 447.50 ,2022
LORETO,ALTO AMAZONAS,YURIMAGUAS,AG ALTO AMAZONAS,OPERATIVO,08:45 a 16:45,Calle Mariscal Castilla N° 411,2022
SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,ORA HOSPITAL MOYOBAMBA,OPERATIVO,08:45 a 16:30,Jirón Grau cuadra 4,2022
SAN MARTIN,MOYOBAMBA ,MOYOBAMBA,AG MOYOBAMBA,OPERATIVO,08:45 a 16:45,Jirón Dos de Mayo Mz. 1530 Lt. 14 (837),2022
SAN MARTIN,HUALLAGA,SAPOSOA,AG HUALLAGA,OPERATIVO,08:45 a 16:45,Jirón Lima N° 591,2022
SAN MARTIN,LAMAS,LAMAS,AG LAMAS,OPERATIVO,08:45 a 16:45,Jirón San Martín N° 984,2022
SAN MARTIN,MARISCAL CACERES,JUANJUI,AG MARISCAL CACERES,OPERATIVO,08:45 a 16:45,Jirón Eduardo Peña Meza N° 772 ,2022
SAN MARTIN,RIOJA,RIOJA,OR RIOJA,OPERATIVO,08:45 a 16:45,Jirón Angaiza N° 530,2022
SAN MARTIN,SAN MARTIN ,TARAPOTO,OR TARAPOTO,OPERATIVO,08:45 a 16:45,Jirón Jiménez Pimentel N° 280 ,2022
SAN MARTIN,BELLAVISTA,BELLAVISTA,AG BELLAVISTA,OPERATIVO,08:45 a 16:45,Jirón Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso,2022
SAN MARTIN,PICOTA,PICOTA,AG PICOTA,OPERATIVO,08:45 a 16:45,"Jirón Simón Bolívar, cuadra 4",2022
LORETO,DATEM DEL MARAÑON,BARRANCA,ORA SAN LORENZO - NUCLEO BASE,OPERATIVO,08:45 a 16:30,Barrio Daniel Alcides Carrión S/N - Barrio Huacachina,2022
SAN MARTIN,SAN MARTIN ,LA BANDA DE SHILCAYO,AG LA BANDA DE SHILCAYO,OPERATIVO,08:45 a 16:45,Jirón Yurimaguas N° 340,2022
SAN MARTIN,MARISCAL CACERES,JUANJUI,ORA HOSPITAL JUANJUI,OPERATIVO,08:45 a 16:30,Jirón Arica N° 205,2022
SAN MARTIN,RIOJA,RIOJA,ORA HOSPITAL DE RIOJA,OPERATIVO,08:45 a 16:30,Jirón Túpac Amaru S/N,2022
LORETO,MAYNAS,PUNCHANA,"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""",OPERATIVO,08:45 a 16:30,Avenida 28 de Julio S/N,2022
LORETO,MAYNAS,IQUITOS,"ORA HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""",OPERATIVO,08:45 a 16:30,Calle Libertad cuadra 4,2022
LORETO,MAYNAS,BELÉN,OR BELEN,OPERATIVO,08:45 a 16:30,Calle Miraflores S/N P. J. 09 de Octubre,2022
LORETO,MAYNAS,TENIENTE MANUEL CLAVERO,PAP SOPLIN VARGAS,OPERATIVO,08:45 a 16:30,Avenida Plaza de Armas S/N 28 de Julio,2022
LORETO,MAYNAS,IQUITOS,OR IQUITOS,OPERATIVO,08:45 a 16:45,Jirón Próspero Nº 201,2022
LORETO,LORETO,NAUTA,PAP NAUTA,OPERATIVO,08:45 a 16:30,Avenida Grau Nº 305 Centro,2022
LORETO,REQUENA,REQUENA,PAP REQUENA,OPERATIVO,08:45 a 16:30,Calle San Antonio S/N Anexo Hotel Municipal,2022
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA,OPERATIVO,08:45 a 16:30,Calle Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal,2022
LORETO,MAYNAS,SAN JUAN BAUTISTA,OR SAN JUAN BAUTISTA,OPERATIVO,08:45 a 16:30,Avenida Abelardo Quiñones Nº 2371 Km. 2.5 ,2022
LORETO,MARISCAL RAMON CASTILLA,YAVARI,PAP YAVARI,OPERATIVO,08:45 a 16:30,Pasaje Dos de Julio S/N Local Municipal,2022
LORETO,MAYNAS,PUTUMAYO,PAP PUTUMAYO,OPERATIVO,08:45 a 16:30,Calle LOCAL MUNICIPAL,2022
LORETO,MAYNAS,PUNCHANA,PAP PUNCHANA,OPERATIVO,08:45 a 16:30,"Calle Trujillo esquina con Calle Cusco, cuadra 5",2022
LORETO,REQUENA,REQUENA,ORA REQUENA,OPERATIVO,08:45 a 16:30,Calle Mártires del Petroléo S/N - Malecon Grau,2022
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ORA CABALLOCOCHA,OPERATIVO,08:45 a 16:30,Calle Progreso N° 425,2022
LORETO,MAYNAS,PUNCHANA,MAC - LORETO,OPERATIVO,08:30 a 16:30,Avenida La Marina Nº  1338,2022
ANCASH,SANTA,CHIMBOTE,OR SANTA,OPERATIVO,08:45 a 16:45,Jirón Jr. Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401,2022
ANCASH,SANTA,NUEVO CHIMBOTE,AG NUEVO CHIMBOTE,OPERATIVO,08:45 a 16:45,- Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote ,2022
ANCASH,HUARAZ,HUARAZ,AG HUARAZ,OPERATIVO,08:45 a 16:45,"Jirón José Larrea y Laredo N° 764,Mz. ""C"" Lote 6, Zona Central y Comercial - Huaraz",2022
ANCASH,HUAYLAS,CARAZ,AG HUAYLAS,OPERATIVO,08:45 a 16:45,Jirón Jr. Raimondi N° 215 - Caraz,2022
ANCASH,HUARI,HUARI,AG HUARI,OPERATIVO,08:45 a 16:45,Jirón Libertad Mz P2 Lote 003,2022
ANCASH,POMABAMBA,POMABAMBA,AG POMABAMBA,OPERATIVO,08:45 a 16:45,Jirón Huaraz No. 691 - Pomabamba,2022
ANCASH,SIHUAS,SIHUAS,AG SIHUAS,OPERATIVO,08:45 a 16:45,Jirón Jr. Gomes Arias N° 104,2022
ANCASH,CASMA,CASMA,PAP CASMA,OPERATIVO,08:45 a 16:45,"- Lote 13, Manzana C,  Zona Centro Civico, Pasaje Hijuela ",2022
ANCASH,HUARMEY,HUARMEY,PAP HUARMEY,OPERATIVO,08:45 a 16:45,- 1er. Pabellón de Centro Civico S/N - Huarmey,2022
ANCASH,RECUAY,RECUAY,PAP RECUAY,OPERATIVO,08:45 a 16:45,Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay,2022
ANCASH,CARHUAZ,CARHUAZ,PAP CARHUAZ,OPERATIVO,08:45 a 16:45,"Avenida La Merced Nº 1006  con Jirón Brasil Lote 7 de la Manzana  P1, Sector Independencia",2022
ANCASH,YUNGAY,YUNGAY,PAP YUNGAY,OPERATIVO,08:45 a 16:45,Avenida Av. Arias Grazziani Lt 1-2 Centro Civico Municipalidad Provincial Yungay,2022
ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUÍS,PAP CARLOS FERMÍN FITZCARRALD,OPERATIVO,08:45 a 16:45,Avenida Ramón Castilla N° 320 - 1er. piso Centro Civico de la Municipalidad Provincial de Carlos Fermin Fitscarrald,2022
ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PAP MARISCAL LUZURIAGA,OPERATIVO,08:45 a 16:45,Jirón San Pablo S/N - Plaza de Armas de Piscobamba,2022
ANCASH,SANTA,CHIMBOTE,ORA LA CALETA,OPERATIVO,08:45 a 16:30,Avenida Malecon Grau S/N La Caleta,2022
ANCASH,SANTA,CHIMBOTE,ORA HOSPITAL ESSALUD III CHIMBOTE,OPERATIVO,08:45 a 16:30,Avenida Circunvalación Nº 119 Urb. Laderas del Norte,2022
ANCASH,SANTA,CHIMBOTE,ORA MATERNIDAD DE MARÍA,OPERATIVO,08:45 a 16:30,Avenida Meiggs 2071 P. Joven Miraflores Alto,2022
ANCASH,SANTA,NUEVO CHIMBOTE,ORA ELEAZAR GUZMÁN BARRÓN,OPERATIVO,08:45 a 16:30,Avenida Brasil S/N Urb. Santa Cristina,2022
ANCASH,HUARAZ,HUARAZ,ORA VÍCTOR RAMOS GUARDIA,OPERATIVO,08:45 a 16:30,Avenida Mariscal Luzuriaga S/N Cdra 01 intercepción con Jr. Pedro Villon cdra 10,2022
ANCASH,HUAYLAS,CARAZ,ORA HOSPITAL DE APOYO CARAZ,OPERATIVO,08:45 a 16:30,Avenida 9 de Octubre S/N,2022
ANCASH,HUARI,HUARI,ORA HUARI,OPERATIVO,08:45 a 16:30,Avenida Circunvalación Baja S/N,2022
ANCASH,PALLASCA,PAMPAS,AG PAMPAS,DESPLAZAMIENTO,08:45 a 16:45,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso,2022
ANCASH,CORONGO,CORONGO,PANP CORONGO,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Jr. Grau N° 206, primer piso de la Municipalidad Provincial de Corongo",2022
ANCASH,PALLASCA,CABANA,PANP PALLASCA,DESPLAZAMIENTO,08:45 a 16:45,"Avenida Av. Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca",2022
ANCASH,AIJA,AIJA,PANP AIJA,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Jr. Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija",2022
ANCASH,BOLOGNESI,CHIQUIAN,PANP BOLOGNESI,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Jr. Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian",2022
ANCASH,YUNGAY,YANAMA,AG YANAMA,DESPLAZAMIENTO,08:45 a 16:45,Jirón Jr. Gran Chavín 2da cuadra S/N,2022
ANCASH,MARISCAL LUZURIAGA,LLUMPA,PANP LLUMPA,DESPLAZAMIENTO,08:45 a 16:45, Plaza de Armas S/N,2022
ANCASH,ASUNCION,CHACAS,PANP ASUNCIÓN,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Jr. Atusparia S/N, esquina con Jr. Lima",2022
ANCASH,HUARI,CHAVIN DE HUANTAR,PANP CHAVÍN DE HUANTAR,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Jr. San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar",2022
ANCASH,HUARI,SAN MARCOS,PANP SAN MARCOS ,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Jr. Progreso 332, Plaza de Armas de San Marcos",2022
ANCASH,HUACAYBAMBA,HUACAYBAMBA,PANP HUACAYBAMBA,DESPLAZAMIENTO,08:45 a 16:45,"Avenida Av. El Ejercito S/N Barrio San Pedro, 1er piso Centro Civico de la Municipalidad Provincial de Huacaybamba",2022
ANCASH,ANTONIO RAIMONDI,LLAMELLIN,PANP ANTONIO RAIMONDI,DESPLAZAMIENTO,08:45 a 16:45,Jirón Jr. Simón Bolívar N° 229,2022
ANCASH,HUARI,UCO,PANP UCO,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Jr. Nicolas de Piérola S/N, Plaza de Armas, Municipalidad Distrital de Uco",2022
JUNIN,SATIPO,PANGOA,PAP PANGOA,OPERATIVO,08:45 a 16:30,Calle 07 de Junio Nº 641 Plaza Principal Centro Civico,2022
JUNIN,HUANCAYO,HUANCAYO,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",OPERATIVO,08:45 a 16:30,Jirón Puno Nº 911,2022
JUNIN,SATIPO,MAZAMARI,PAP MAZAMARI,OPERATIVO,08:45 a 16:30,Avenida San Juan N° 353,2022
JUNIN,HUANCAYO,EL TAMBO,OR HUANCAYO,OPERATIVO,08:45 a 16:45,Avenida Mariscal Castilla N° 1801 Cruce con Jr. Aguirre Morales - El Tambo,2022
JUNIN,CONCEPCION,CONCEPCIÓN,PAP CONCEPCIÓN,OPERATIVO,08:45 a 16:30,Jirón Ricardo Palma S/N Mercado Modelo Interior 1 ,2022
JUNIN,JAUJA,JAUJA,PAP JAUJA,OPERATIVO,08:45 a 16:30,Jirón Sucre N° 889,2022
JUNIN,JUNIN,JUNIN,PAP JUNIN,DESPLAZAMIENTO,08:45 a 16:30,Jirón Simón Bolivar N° 820,2022
JUNIN,TARMA,TARMA,AG TARMA,OPERATIVO,08:45 a 16:45,Jirón Arequipa Nº 939,2022
JUNIN,YAULI,SANTA ROSA DE SACCO,PAP YAULI,OPERATIVO,08:45 a 16:30,Avenida Miguel Grau N° 309,2022
JUNIN,SATIPO,SATIPO,PAP SATIPO,OPERATIVO,08:45 a 16:45,Avenida Micaela Bastidas y Jr. Augusto B. Leguia Centro Civico ,2022
JUNIN,CHANCHAMAYO,LA MERCED,AG CHANCHAMAYO,OPERATIVO,08:45 a 16:45,Prolongación Tarma Nº 236,2022
JUNIN,CHUPACA,CHUPACA,PAP CHUPACA,OPERATIVO,08:45 a 16:30,Jirón Grau N° 195 - Centro Cívico,2022
JUNIN,CHANCHAMAYO,PICHANAQUI,PAP PICHANAQUI,OPERATIVO,08:45 a 16:45,Jirón Independencia S/N Coliseo Municipal,2022
JUNIN,TARMA,TARMA,ORA DE APOYO FELIX MAYORCA SOTO,DESPLAZAMIENTO,08:45 a 16:30,Avenida Pacheco Nº 362,2022
JUNIN,JAUJA ,JAUJA ,ORA HOSPITAL DOMINGO OLAVEGOYA,DESPLAZAMIENTO,08:45 a 16:30,Jirón San Martín Nº 1153 Urb. Olavegoya ,2022
JUNIN,CHANCHAMAYO ,PICHANAQUI,ORA HOSPITAL DE APOYO PICHANAQUI,OPERATIVO,08:45 a 16:30,Avenida San Martín S/N Pichanaki,2022
JUNIN,HUANCAYO,HUANCAYO,ORA LA LIBERTAD,DESPLAZAMIENTO,08:45 a 16:30,Jirón HUANCAS 695,2022
JUNIN,HUANCAYO,EL TAMBO,ORA HOSPITAL NACIONAL RAMIRO PRIALE,DESPLAZAMIENTO,08:45 a 16:30,Avenida AV. INDEPENDENCIA Nº 266,2022
JUNIN,HUANCAYO,CHILCA,ORA CHILCA,DESPLAZAMIENTO,08:45 a 16:30,Jirón HUMBOLT 900,2022
