DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE LOCAL,ESTADO,HORARIO DE ATENCION AL PUBLICO,DIRECCION,AÑO
MADRE DE DIOS,TAHUAMANU,IBERIA,AG IBERIA,OPERATIVO,08:45 a 16:45,Avenida Máximo Rodríguez N° 124 Plaza de Armas,2024
APURIMAC,ABANCAY,ABANCAY,ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Daniel Alcides Carrión S/N,2024
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,OR TAMBOPATA,OPERATIVO,08:45 a 16:45,Jirón Lambayeque N° 159,2024
MADRE DE DIOS,MANU,MANU,PANP MANU,DESPLAZAMIENTO,08:45 a 16:45,Avenida Esperanza S/N - Local Municipal,2024
CUSCO,ACOMAYO,POMACANCHI,AG POMACANCHI,DESPLAZAMIENTO,08:45 a 16:45, Plaza de Armas S/N,2024
CUSCO,CUSCO,CUSCO,ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO (MINSA),OPERATIVO,08:45 a 16:30,Avenida La Cultura S/N,2024
CUSCO,CANCHIS,SICUANI,ORA SICUANI (MINSA),OPERATIVO,08:45 a 16:30,Avenida Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani,2024
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,ORA SANTA ROSA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Cajamarca N° 171,2024
CUSCO,LA CONVENCION,SANTA ANA,ORA QUILLABAMBA (MINSA),OPERATIVO,08:45 a 16:30,Avenida General Gamarra S/N - Hospital Quillabamba,2024
CUSCO,ESPINAR,ESPINAR,ORA ESPINAR (MINSA),OPERATIVO,08:45 a 16:30,Calle Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar,2024
MADRE DE DIOS,TAHUAMANU,IBERIA,ORA SAN MARTIN DE PORRES DE IBERIA (MINSA),OPERATIVO,08:45 a 16:30,Calle Mocopata S/N,2024
APURIMAC,COTABAMBAS,TAMBOBAMBA,ORA TAMBOBAMBA (MINSA),OPERATIVO,08:45 a 16:30, Hospital Tambobamba,2024
APURIMAC,COTABAMBAS,HAQUIRA,PAP HAQUIRA,OPERATIVO,08:45 a 16:45, Plaza de armas S/N-Haquira,2024
CUSCO,CHUMBIVILCAS,SANTO TOMAS,ORA SANTO TOMAS (MINSA),OPERATIVO,08:45 a 16:30,Calle  Andres Avelino Caceres - Hospital Santo Tomas  ,2024
CUSCO,CHUMBIVILCAS,VELILLE,PANP VELILLE,DESPLAZAMIENTO,08:45 a 16:45, Plaza de Armas - Municipalidad Distrital Velille,2024
CUSCO,CALCA,YANATILE,PANP YANATILE,DESPLAZAMIENTO,08:45 a 16:45, Plaza de Armas - Municipalidad Distrital Yanatile,2024
APURIMAC,ABANCAY,CURAHUASI,PANP CURAHUASI,DESPLAZAMIENTO,08:45 a 16:45, Coliseo Cerrado - Municipalidad de Curahuasi,2024
CUSCO,CUSCO,SANTIAGO,AGENCIA SANTIAGO,OPERATIVO,08:45 a 16:45,Calle Giraldo Ruiz Caro S/N,2024
CUSCO,CUSCO,WANCHAQ,MAC CUSCO,OPERATIVO,08:30 a 16:30,Avenida Collasuyo 2964 - Real Plaza Cusco,2024
MADRE DE DIOS,TAMBOPATA,INAMBARI,AG INAMBARI,DESPLAZAMIENTO,08:45 a 16:45, Plaza de Armas - Municipalidad Provincial de Inambari,2024
CUSCO,CUSCO,CUSCO,PVM - OR CUSCO,OPERATIVO,08:45 a 16:45,Avenida El Sol N° 272,2024
LIMA,LIMA ,JESÚS MARÍA,ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS (ESSALUD),OPERATIVO,08:45 a 16:30,Avenida SALAVERRY CDRA. 13 - PUERTA 6,2024
CALLAO,CALLAO,CALLAO,ORA NAC. DANIEL A. CARRIÓN (MINSA),OPERATIVO,08:45 a 16:30,Avenida Guardia Chalaca Nº 2176 - Bellavista,2024
LIMA,LIMA,SAN JUAN DE LURIGANCHO,ORA HOSPITAL SAN JUAN DE LURIGANCHO (MINSA),OPERATIVO,08:45 a 16:30,Avenida Canto Grande S/N - Altura del paradero 10,2024
LIMA,LIMA,EL AGUSTINO,ORA HOSPITAL NACIONAL HIPOLITO UNANUE (MINSA),OPERATIVO,08:45 a 16:30,Avenida Cesar Vallejo Nº 1390 ,2024
LIMA,LIMA,LIMA,ORA INSTITUTO NACIONAL MATERNO PERINATAL (MINSA),OPERATIVO,08:45 a 16:30,Jirón Miroquesada Nº 941 - Lima,2024
CALLAO,CALLAO,VENTANILLA,OR VENTANILLA,OPERATIVO,08:45 a 16:45,Avenida Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 ,2024
LIMA,LIMA,SANTIAGO DE SURCO,OR SURCO - HIGUERETA,OPERATIVO,08:45 a 16:45,Avenida Santiago de Surco Nº 2807 Urb. Residencial Higuereta,2024
